,Text,Emotion
65,i feel like you feel this is a mistake but time is fucked up sleep won t take,anger
66,i feel there are dangerous games or activities,anger
67,i do feel that they are greedy and money hungry absolutely,anger
68,i feel so fucked up now i want to shut myself up,anger
69,i must find a way to accept these limitations until they are older without feeling held back or resentful,anger
70,i feel wronged but the judges people make at times however i also found out that actually in life we just need to be responsible to our own actions and and the people around us,anger
71,im currently feeling way fucked up with the mother tongue paper,anger
72,i feel tortured and tragic enough as it is without having any importance or sparkle,anger
73,i feel selfish thinking this way but i feel so lonely at times,anger
74,i feel like i have been rather unkind to it,anger
75,i do feel a bit obnoxious it is definately the weather,anger
76,i says pressing his torso against siwons and bringing their faces close enough that he can feel siwons agitated breath,anger
77,i feel a little frustrated an ache of longing has settled into my heart the weariness of life his slipped around my shoulders like an unwelcome friend,anger
78,i was feeling impatient and took pills,anger
79,i feel like my go to emotion is angry,anger
80,i is feeling insulted because everyone is comparing sneha with her,anger
81,im feeling every bit the spiteful vindictive bitch i can be at times,anger
82,i didn t think that it would come that fast or would come at all but i suppose it is because i feel cranky today,anger
83,i have the feeling that im going to be stubborn about it,anger
84,i start to feel agitated lacking in patience and just down right cranky,anger
85,i know its easy to twist things to create an explanation and im still not sure i have one but it did help me to feel a little less mad,anger
86,i would hate to be bit imagine if the secretary is feeling irritable that day eh,anger
87,i feel agitated and the result is not pleasant the opposite of calm and peaceful,anger
88,i truly feel but its somehow not enough for me to hate him or to get mad,anger
89,i want to enter in defiance but coming from a different culture i feel offended that i am not allowed,anger
90,i was feeling rebellious so i ate it,anger
91,i do feel agitated restless or on edge quite often,anger
92,i feel like i should have actively hated every single second rather than just borne it all,anger
93,i feel a violent tug at my eye socket,anger
94,i feel frustrated that its not easier other days i remember that the blessing of research learning trial and error hard won success and patience will give me a far better garden in the long run,anger
95,i was tempted to feel a little bitter but then i saw this,anger
96,i really am feeling horribly irritable and a little bit depressed,anger
97,im feeling rushed and like i should have planned certain things this summer that i can no longer do,anger
98,i feel that cold breeze,anger
99,i try to breathe in when i feel frustrated and breathe out the calm that i desire,anger
100,i feel heartless now feeling bored and not believe in love anymore,anger
101,i have been highly critical of dennis covingtons book in this article i must admit that he did say something that has merit in this discussion when he noted in his closing chapters this feeling after god is a dangerous business,anger
102,i feel really angry sometimes because for the love of god havent we been through enough,anger
103,im feeling cranky and horrible,anger
104,i really feel i was wronged as a patient,anger
105,i feel like a greedy little traitor i m looking looking among these covers hey little snotface take me,anger
106,i feel like i was a rude ass hole at hookah,anger
107,i was made to feel like it was my fault that i couldn t control my husband and his violent behavior if they even believed it existed,anger
108,i feel disgusted when need to act cute like the actions of gwiyomi,anger
109,im starting to not buy the whole everything happens for a reason bit or god has a plan b c i feel that god is love and theres no way that he would torture me and other women like weve been tortured dealing w fertility issues,anger
110,i feel truly impatient that this is taking so long,anger
111,i want to say how i want to feel just come out so bitter and angry,anger
112,i know what it feels like to face irate customers,anger
113,i havent worked out today but i feel like im just not going to feel it ive been so stressed at work and just in life that this week is just bad,anger
114,i sometimes feel resentful that this has come into our lives at this time,anger
115,i feel like i have been really cranky at school these days,anger
116,i do not feel like i am hostile toward others just that i fail to be nice to them,anger
117,i wake up feeling cranky and out of sorts,anger
118,i say that i feel like im being tortured by him,anger
119,i cant help looking back on the child i was and feeling rather jealous but i am also delighted to be living in a time when a nine year old child in some parts of the world can read a thousand books a year if she he wishes and is able to,anger
120,im feeling a bit cranky today,anger
121,i even dare to say that some of the biggest stiller and or vaughn haters still could get some enjoyment out of this movie and not feel annoyed by their performances and characters,anger
122,i was feeling pretty cranky this morning and stopping in here really made me feel a lot better,anger
123,i didnt feel the cold up there because we had a fire every night,anger
124,im also feeling cranky about it because the main characters scientist brother observing the moon mentions that there is zero gravity there,anger
125,i finish typing this post i realise i m ok no longer do i feel annoyed angry or even sad,anger
126,i refuse to rate the book but if she and her publisher feel snobbish then take it from me when i say jeanette winterson cannot write and essentially does not do wish to do anything with the scope to explore,anger
127,i feel petty even though the thoughts arent real fleshed out thoughts just these fluttering i should feel like this kind of thoughts,anger
128,i remember feeling how my husband felt when i would see people being rude to my mom and mom just being her sweet self to them,anger
129,i remember feeling a little jealous and realized that our time together wasnt solely about me but that he has a larger network of social interactions all ready in progress before i got there,anger
130,i feel impatient yet i am not fully sure what i am searching for,anger
131,i feel like i had so much to write then got distracted by my home on a wednesday evening challenge and have therefore lost my train of thought,anger
132,i feel i am completely dissatisfied with the whole world and all human characters are inconsistent,anger
133,i knew from high school and he s pretty fuckin chill says that the girl feels insulted and threatened by the blog that i wrote and would like me to apologize and if i offended her i m sorry,anger
134,im feeling particularly dangerous a chocolate cookie,anger
135,i actually thought i would feel bothered being their since ehb and the other woman ow spent quite a bit of time together there but i didnt feel much of anything,anger
136,i feel bothered,anger
137,i feel just insulted,anger
138,when a very close friend with whom i have a very intimate and bodily relationship he had a girlfriend started to avoid me and didnt want to talk to me any more,anger
139,i feel wronged by the world,anger
140,i feel agitated and empty and missing something,anger
141,i am feeling deeply offended big hurt feelings in fact,anger
142,i dontknow why but i never feel this way with anyone else i really cant be without linus i love him which i never thought i could ever love anyone after went through few fucked up relationship,anger
143,i am glad to know the reason for my recent lapse of sanity but i still feel like i want to go on a very violent rampage at the slightest inconvenience to me,anger
144,i feel like offended with such question,anger
145,i guess im just feeling a little rebellious,anger
146,im just feeling seriously pissed off at myself for doing something fantabulous but utterly stupid,anger
147,i am excited i hope they will be a it more personal with us and i wont feel like i am being rushed in and out,anger
148,when my mother kept me in leadingstrings,anger
149,i get home i laze around in my pajamas feeling grouchy,anger
150,i feel everything around me is fucked everyone around me is falling to pieces,anger
151,i feel extremely insulted,anger
152,i cant help feeling mad at this man,anger
153,i just want to show them that i can take care of myself and i feel wronged by staying with them,anger
154,i went ahead and did the shooting afterwards a few of the guys asked me to go out for drinks and i agreed i knew i should have rang you tried to work things out with you but i was angry and feeling stubborn,anger
155,ive been comfort eating because im still feeling rubbish and i havent bothered to log most of it so theres no point checking on my food log yeah i know some of you do that,anger
156,i feel like how i m pissed that i have to spend an entire extra year in school because of stupid biochem,anger
157,i did see some things that i would never have done myself for the movie adaption but feel that if i did not read the book it would not have bothered me,anger
158,i remember feeling very very violent and very disgusted the oscar winner tells access hollywood,anger
159,i like listening to hardcore sxe music its the one thing that lets me feel rebellious while not chocolating out or spending till its gone,anger
160,i feel so annoyed,anger
161,i felt the sadness and remorse we are supposed to feel when we realize we have wronged someone corinthians,anger
162,im not going to lie i feel a little insulted,anger
163,i feel shafted or greedy,anger
164,i was using it to vent out ugly feelings and be vicious and nasty rather then deal with them like an adult,anger
165,im feeling awfully spiteful right now,anger
166,i would like to reduce the amount of jealousy i feel god commands us not to be jealous and i feel that every jew religious or not should obey that prohibition,anger
167,my roommate was rude to me,anger
168,i was impressed with how dunham portrayed hannahs whole experience from trying to deny that its happening to feeling offended when you feel like someone is trying to minimise the distress its causing you,anger
169,i am learning to step back and call it out to not be too proud to admit that yes i am feeling annoyed and yes i should tell you why,anger
170,i was feeling a little like a cold was coming on,anger
171,i always feel i always understand that the people who are being the most hateful and harmful towards me are hurting themselves and taught wrongly and i hurt for them because i want to go back and undo the pain and childhood bigotry that binds their lives into this path,anger
172,i feel tortured by something,anger
173,im pretty sure it had to do with the fact that im dealing with hyperemesis not enough sleep and feeling irritable,anger
174,i feel that it is dangerous to portray angels as walking the earth and intermarrying with humans,anger
175,i was left feeling bothered by it for a long time afterwards,anger
176,i stopped feeling bitter and sorry for myself and lost myself in the work my work started getting better or rather continued to get better,anger
177,i feel more and more stressed,anger
178,i feel so cranky right now,anger
179,i feel this violence is petty and impractical,anger
180,i just feel cold and drained all the time im either hungry or tired or cold at the moment and it sort of sucks,anger
181,i have to leave my hair alone now if im feeling impatient,anger
182,i feel greedy but too idealistic what is it to expect she would want you to talk to me your proported best friend that she might be happy you have me,anger
183,i feel that now i am a lot less irritable than i was before,anger
184,i felt out of control i hated myself for feeling it then felt more out of control hated myself for hating that i hated it and it just got worse until i was walking to work in a haze trying to not curl up on the pavement and just,anger
185,i stop feeling so mad i ll stop behaving like this,anger
186,i invite him to send me an email detailing all the ways he feels that ive wronged him and i promise to post it unedited outside of names or what not in this blog,anger
187,im feeling quite cold actually,anger
188,this happened when i could not get into the school i had initially wanted,anger
189,i feel that is why she suddenly got mad at mom,anger
190,i feel angry thinking how much the government has gulped away over money,anger
191,i have no idea why this particular region seems to lack a visibly necessary outer carniola as well and i feel actually somewhat bothered by this possible evidence of lack of suburban spirit,anger
192,i used to get the worthless feeling like i said previously my gear was going on ebay but now catch or not i m not bothered it is all about having a go i think a little more when fish are thin on the ground but not dejected or angry,anger
193,i has for this other woman she feels greedy and wants kairi all for herself,anger
194,i feel almost angry that i have been fed like a lab rat for so many years,anger
195,i feel myself getting agitated over something insignificant or feeling bored i m going to remember this quote,anger
196,i will usually tell him that i was feeling frustrated for whatever reason and ask him to help me fix it,anger
197,i hate all shopping when i feel rushed by hoards of people,anger
198,id feel like a heartless bitch if i didnt share these with anybody,anger
199,i feel frustrated and upset and demotivated when i dont see a whole picture of the curriculum that im studying for example english class,anger
200,i cant let all these feeling in one blink im not a heartless person like you i give you a lot of change i give you a lot of change to come and change your decisions i give you a lot of change to find me but you threw it like a crap,anger
201,i need to take my own advice and the advice of many many writers who i admire get the butt in the chair every day even if youre feeling distracted or stressed or whatever,anger
202,i feel rude for ignoring your plea for help and its all your fault,anger
203,i never have it feels insincere and a little nosy you get a hint that something might be wrong and want to jump in and get all the details,anger
204,i feel like im so enraged,anger
205,i feel so selfish but i just want to keep my baby close for awhile and not let the rest of the world in unless i feel like it,anger
206,i can feel the cold of winter,anger
207,i feel so bitchy suddenly,anger
208,i feel really petty at the moment because i am extremely angry because im broke at the moment and it sort of pisses me off,anger
209,i feel petty for saying shes fucked up because technically she doesnt have to get me a gift,anger
210,i feel grouchy or short tempered then the guilt kicks in,anger
211,i feel hateful of myself for being alone,anger
212,i would watch him and feel frustrated he didn t realize that fifteen feet away was the ocean the freaking wave crashing covering the majority of the earth ocean,anger
213,im happy to have this in my kitchen but it feels like someone rushed this out and cut corners,anger
214,i feel angered by this,anger
215,i feel fucked is available to pre order from a href http churchoffuck,anger
216,i can be as kind as an angel but sometimes i can also be as mean as a devil i used to use harsh words when i feel irritated,anger
217,i feel like im a violent mother,anger
218,i feel like i cant take it anymore i told my boyfriend and he is furious,anger
219,i feel resentful and really work that resentment until i blow up,anger
220,i just feel so fucked up these days,anger
221,i know they mean no harm but i cant help but feel offended,anger
222,i feel so violent but im a paper tiger,anger
223,i feel disgusted at him and at myself for having been with him and continuing to be something he wants in his life,anger
224,i was intensely conscious of how much cash i had left in my gas and food envelope and i still have what i intended to save for next week which helps me not feel so stressed and scared,anger
225,i am feeling a little grumpy but that could be pms too,anger
226,i feel that i can answer in a completely un sarcastic way,anger
227,i do feel like less of a person when i constantly hear family members use hateful language every time anything even remotely related to homosexuality comes up,anger
228,i was feeling frustrated,anger
229,i feel times less bitchy,anger
230,i just feel so irritable which i guess is a classic symptom of depression,anger
231,i sat on a windy beach feeling thoroughly annoyed i vowed id be back and i would climb scafell,anger
232,i love my job and know that the surgeries were doing are emergencies i always feel resentful especially when it is am and i was sleeping,anger
233,when people harrass me i feel oppressed by their behavior,anger
234,i feel so enraged that i want to punch him but i don t because he s only years old,anger
235,i grappled with was guilt that relatives and friends who usually communicate with me there would feel like i was ignoring them and i felt selfish still posting my burlesque and blog updates there without liking their photos and links,anger
236,i used to feel from your music is now gone and it has been replaced by a bitter taste in my mouth and a lot of sadness,anger
237,i even get jealous when my bf speaks to his best friend who is a girl and also friend of mine but i listen and understand their friendship because my trust towards my bf is higher than me feeling jealous,anger
238,i feel that i want what i need and know that i just need to bleed in this fucked up world of my own,anger
239,i felt a little bit of cramping and the same feelings i had been feeling for weeks so was not bothered by it,anger
240,i feel that the students in this classroom are very hostile towards any display of intellect just like the rest of society,anger
241,i feel like this never get impatient around sharp objects as it will inevitably lead to tears,anger
242,i was sipping my diet coke watching my the swimming lessons and feeling aggravated that my mousekins were not being better listeners the thought crossed my mind,anger
243,i think guys who feel need to compensate do it by being obnoxious,anger
244,ive been feeling jealous lately of bloggers going off to author readings and book si,anger
245,i have struggled to fit all the work in for this module and have felt frustrated at times feeling that my blogs were rushed and although i have read with great interested fellow students blogs i feel i havent interacted as much as i could have done this is a definite area for development,anger
246,i am feeling a little stressed but seriously i have no one or nothing to blame but myself,anger
247,i feel im being violent is i say no im not going to accept that and here are the consequences,anger
248,i havent known sue anything like as long as bloater and lisa but i feel like i have you know one of those people you meet and you just click with you can have grumpy old people conversations straight away with them but then roll around laughing the next minute well thats sue,anger
249,i continue to spend hrs into not feeling envious can i really do it,anger
250,i feel insulted by this technique which is also proven to be one of the worst for educating because i already read the slide faster than he was able to speak,anger
251,i feel that rushed prize giving really dilute the event and in future prize givings will be not rushed and will be on timetable,anger
252,i can never fall in love with anyone because my feelings make me too dangerous,anger
253,i feel really wronged in fact what hu jia did is good for society,anger
254,i vividly remember feeling so offended that she would even dream such a thing could be a choice,anger
255,i start to feel myself become irritated when conversing with him,anger
256,i feel violent or something today,anger
257,i was feeling quite impatient and must have hit the ad because thats when my internet died and vista virus pro started to bother me,anger
258,im feeling bitchy as hell tonight,anger
259,i of britain so were louis xvi and marie antoinette but i think perhaps i feel the loss of russia more because it was so violent it was the entire family and because it was so comparatively recent,anger
260,i feel insulted to see anyone wearing crocs the fashionable shoe icon,anger
261,im feeling aggravated listening to phoenix lost and found,anger
262,i began to feel a cranky feeling of why the hell do i do what i do,anger
263,i was not wrong to feel angry but i was wrong for what i said,anger
264,i feel like im in a whirlwind and the next im trying not to be too impatient as i wait,anger
265,im sorry this apparently offends a lot of other women because its only women who feel the need to say something rude but im going to do it anyway,anger
266,a study visit to a chicken factory the butchery,anger
267,i am suddenly feeling insulted while typing this down,anger
268,im feeling so goddamn pissed and just,anger
269,i feel like i get easily distracted in making things and switch around to many different projects throughout a week,anger
270,i feel tortured a href http lawrencewashington,anger
271,i start feeling resentful or overwhelmed it s a sure sign that i need mothering,anger
272,i feel petty posting with my own complaints right now because its not like i was kidnapped when i was years old and forced to make easter creme eggs for the rest of my life,anger
273,i feel jealous on sumthg tat i thk of,anger
274,i loathe it as a gamer said molyneux adding that it just makes me feel insulted,anger
275,i started to feel dissatisfied by the ease and convenience of it all,anger
276,i felt disgust of dirty,anger
277,i feel frustrated for her when i read those chapters,anger
278,i feel so extrememly bitchy today that ive done something i have never done in my years of life,anger
279,i feel so pissed and i feel like sleeping s,anger
280,im feeling you up grumpy,anger
281,i feel stressed he gets upset for that too,anger
282,i feel irritated to have missed out direct instruction from master lee is never to be passed up casually i have to admit my body just feels like it needs the rest,anger
283,i kept feeling enraged that she was in too,anger
284,im so damn tired and i feel a little grouchy,anger
285,i feel like this way i would be less bothered,anger
286,i feel stubborn and strong and ready to fight this disease,anger
287,i just feel cold said rachel,anger
288,i feel a little jealous of the people who are sitting in the coffee shop all leisurely like at in the morning,anger
289,i mention that im feeling cranky,anger
290,im not sure how i feel about him yet he seemed kind of distracted and out of it but we decided wed give him until the end of the week to prove himself to us,anger
291,im definately feeling the change but im refusing to feel impatient about it,anger
292,i feel frustrated or impatient,anger
293,i feel that they are just saying these things because they dont want to agree with me and be rude,anger
294,i feel i am quite mad,anger
295,im feeling envious of my pregant co workers,anger
296,i feel i ve been wronged luckily i managed to control myself and not complain or talk bad about the friend either online on facebook or offline in person,anger
297,i feel that the classroom is extremely dangerous,anger
298,i end up getting unwanted attention from boys i want little to do with or ill be sort of starting something with a boy then find myself flirtiing with others in his presence or ill feel really insincere around boys that i do like,anger
299,i am your friend then why do i sometime feel so insulted around you,anger
300,i can feel the tortured emo poetry coming on already,anger
301,i went to a lecture and once again it had been cancelled,anger
302,i feel that spitting on somebody is the most vicious kind of disrespect that you can do he said,anger
303,i truly feel i am irate,anger
304,i focus on the injustice the anger rises and i feel frustrated because i know i cannot change things on my own,anger
305,we had come back from a programme and we were all three girls staying over at another girls placce one of them started passing very nasty and outright bitchy remarks at me it was brought on by a male colleagues compliments to me,anger
306,i am sure the organisation themselves have the best of intentions though i disagree with them whole heartedly its just i get the feeling that some of the demostrators will be slightly hostile to students,anger
307,i must have been feeling a little cranky about the,anger
308,i feel so bitchy talking about myself this way ahaha i sound less retarded telling this story in person i swear and said if i were a boy i would fall in love with you,anger
309,i never feel fucked the week after i used some i feel great acctually thinking of the wonderfull time i had the weekend before img src http israel,anger
310,i feel hateful to have given up my friendship with that woman and a couple of others for the same reasons to admit defeat and let my husband make me feel so insecure that i feel the need to avoid her cut her out of my life so that my securities is not challenged,anger
311,i can honestly say that every good thing in my life right now is crashing down and i feel too stubborn to ask for help,anger
312,i feel not heartless because my heart hurts so i still feel it i feel so much pain,anger
313,i feel very agitated and sort of lost,anger
314,i know i feel personally offended by this on so many levels,anger
315,i don t try to put my light in where i can i m going to feel fester y and grow bitter and dark,anger
316,i feel i m doing to my mom what i despised so much when it was done to me,anger
317,i havent been able to squeeze in a run for two weeks so i am feeling really cranky lethargic,anger
318,i feel someone has been wronged when i feel i have been wronged or when i get riled up against an action i find offensive i unsheathe my sword and good lord you better look out,anger
319,i woke up emotionally drained and anxious and immediately my defenses rise and i feel irritated that this is my story my life,anger
320,i hate feeling so despised and detested by someone who i truly care for and completely love,anger
321,i wasn t feeling insulted over its idiocy i felt supremely bored and actually wound up fastforwarding through a few scenes,anger
322,i must ask if my column makes you feel so hateful why do you keep logging on,anger
323,i feel like we rushed through this weekend,anger
324,i can t help feeling jealous,anger
325,i feel a bit annoyed and antsy in a good way,anger
326,i ate feeling hateful towards myself because of a number,anger
327,i didnt think i was angry but now that im typing away feeling my words evaporate into cyberspace i am very pissed that this is happening,anger
328,i go from your presence from praying for wisdom and patience and feel so instantly furious,anger
329,i am not hausa but i feel offended especially as the crazy motorcyclist who is now getting up from the ground like nothing happened bears no resemblance to anyone from the north,anger
330,i wasnt feeling at all irritated,anger
331,i just feel like warner brothers fucked with the final edit and that an even better film will be arriving in director s cut format on blu ray,anger
332,i feel really disgusted with myself more than the pain and agony,anger
333,i have also always been afraid of the cold pool but i realized that it actually doesn t feel cold after about laps,anger
334,i want to give up feel distracted or just need to remind myself of what i am working towards,anger
335,i took several deep breaths feeling the cold air burn its way into my lungs and exhaling little clouds of vapor,anger
336,i simply dont want to and it makes me so mad because i want to be able to share these things with you but i feel like were so emotionally far apart now and it makes me mad and makes me unable to go to you,anger
337,i was incredibly youthful in my employment in which i had been angry stay when i was feeling i had been offended simply because i wasnt the professional decided on,anger
338,i feel irritable and unfulfilled if i dont paint for several days,anger
339,i do not want to accept that it s inevitable that we all become grumpy old men and women as we age and i do not want to accept that feeling irritated and annoyed by trivial little things is normal,anger
340,i wasnt feeling particularly bitter on my birthday in fact i had a fantastic day,anger
341,i really feel irritated with all these,anger
342,i feel like im the bitter old lady who has had such a long life and just cant deal with it anymore,anger
343,i feel all rushed to get ready for tomorrow,anger
344,i sat with dave atell at first trying not to feel rude while the guys were eating,anger
345,i still did not really feel like myself and i kind of hated these pictures but i am soooo glad we took them,anger
346,i am feeling a little dissatisfied with my pictures for the last couple of months,anger
347,i was capable of doing the same as of late ive been feeling pretty bitter and depressed and not a lot of gratitude in general,anger
348,i really feel like i m wading in dangerous waters here but i think dialog is really important too,anger
349,i always plant a big section of lettuce and i leave it open for those pesky bunnies so that they can feel all rebellious as if they are raiding my garden,anger
350,i have this nagging feeling that i fucked everything up on the first try,anger
351,i can feel she still angry with me,anger
352,i feel cold few days,anger
353,i look around at the people around me and i feel almost slightly envious about how they have a way of motivating themselves sitting down and studying so hard,anger
354,i am feeling manipulkated and wronged by my son and its as though he is lucy and i am charlie brown,anger
355,im not sure that feeling slightly wronged by the police the sheriff or the tsa is always a bad thing,anger
356,i feel resentful that it hurts so much but i m also grateful she said for what i can do including disco swimming and even taking the stairs,anger
357,i went in there feeling a little hostile because it felt like they didnt really care about me,anger
358,i know you feel tortured reading this,anger
359,im feeling distracted and likewise attracted to all the things that you let me know all the things that you cant let go youre waiting,anger
360,i feel impatient to do a final post after four more weeks with tangible results so far its exciting to see how far the philips reaura can go in terms of firming and smoothing,anger
361,i came home one day and discovered that my sister had borrowed my car and had gotten into an accident with it my entire front bumper was destroyed,anger
362,i don t feel greedy of worldly things so it s not a big deal,anger
363,i was feeling grouchy and the old man has mentioned that retail therapy is great,anger
364,i feel like the heartless from kingdom hearts or really any stock character that is born without feelings and watches enviously as the normal people laugh cry love and feel things that i can t,anger
365,i am feeling spiteful,anger
366,a group of youngsters dressed in fads talked foul language on a bus they also insulted the pedestrians on the road and were impolite to the passengers of the bus,anger
367,i waited in line longer than usual i didnt feel impatient that my business was delayed i listened to the master about why this was occurring and how i could be of service during that moment,anger
368,i am feeling irate,anger
369,i always think of you as such a violent band violently feeling violent lyrics musically violent,anger
370,i also feel stubborn,anger
371,i feeling dangerous at wimbledon width,anger
372,i always had this negative perception when i was asked about getting pregnant and my misscariage i always walked away from those conversations feeling somewhat offended,anger
373,im home i can feel how the cold has seeped into my arms and legs,anger
374,im feeling awfully irritated and worried and for a few good reasons,anger
375,sometime back another girl who was in terms with my exboyfriend came to shout at me at twelve midnight it was because she thought i was still interested in the boy,anger
376,i feel its rude to take someone s photo but rather that i feel awkward asking to take the photo,anger
377,i am feeling cranky today is due to me not getting enough sleep due to the unexpected long outing yesterday night,anger
378,i feel disgusted embarrased and sad about how i handled the situation,anger
379,i feel your pulse against my lips as i chase the dragon suck your lips and is your heart and tongue wish begging for my part and fingers translate your sorrow as you reach inside my soul angered in my breath of mercy the story will no unfold,anger
380,i pray that the eyes that read this the minds that comprehend this and the hearts that feel this will not be offended,anger
381,i ended up with a perfect studio and now when i walk into it i feel aggravated yes it is bizarre,anger
382,i see those forms that i havent do yet i just feel very agitated,anger
383,i needed a plan on how to get rid of that feeling it was totally taking over everything i am totally distracted at work with everything i m trying to do in any free time i have in the evenings the projects are taking over my life and the fact that i totally feel burnt out by it all,anger
384,i feel resentful about being a giver,anger
385,ive predicted angle to win and im feeling slightly less grumpy than when i wrote that lets say that gallows wins clean here to keep things tight,anger
386,i found myself feeling jealous though,anger
387,i was left with my integrity and my dignity intact but feeling pissed off,anger
388,i felt doubtful and the image that popped into my mind was of dealing with a big knot in my shoelace and then feeling frustrated,anger
389,i feel i really wronged commodore,anger
390,i feel like it was a bit rushed,anger
391,im sure you know the feeling of cant be bothered i just feel poo,anger
392,id have to get to the class for eight dance for an hour nine get home ten if im lucky eat i cant eat before a class as dancing when full makes me feel vile sit around digesting etc ish then get to bed and try to sleep before getting up unnaturally early,anger
393,i asked that no one gift me but if i go to my sister s house when everyone gathers for the holiday i will feel impolite to show up empty handed,anger
394,i carry the usual guilt of feeling selfish and self centered if i spend time or anything on myself,anger
395,i feel utterly disgusted that they would look at me in such a way but the thing continues,anger
396,i realized today that i dont know what i want and thats the primary reason why i feel so dissatisfied so often,anger
397,i have to do this and make some vj feel jealous,anger
398,i don t know why i am feeling so sarcastic tonight but christian seems to enjoy my banter and every time seth apologizes for my behavior christian tells him it s quite alright and locks eyes with me,anger
399,i can feel the beginnings of a cold so i figured i deserve a heinously hot bath,anger
